
Codes	Titles	Total Marketable US Businesses
238190	Other Foundation, Structure, and Building Exterior Contractors	2,274
2382	Building Equipment Contractors	308,009
238210	Electrical Contractors and Other Wiring Installation Contractors	118,444
238220	Plumbing, Heating, and Air-Conditioning Contractors	186,978
238290	Other Building Equipment Contractors	2,587
2383	Building Finishing Contractors	183,863
238310	Drywall and Insulation Contractors	30,286
238320	Painting and Wall Covering Contractors	93,109
238330	Flooring Contractors	15,455
238340	Tile and Terrazzo Contractors	22,577
238350	Finish Carpentry Contractors	11,975
238390	Other Building Finishing Contractors	10,461
2389	Other Specialty Trade Contractors	176,651
238910	Site Preparation Contractors	40,129
238990	All Other Specialty Trade Contractors	136,522
31-33	Manufacturing	645,157
3111	Animal Food Manufacturing	2,255
311111	Dog and Cat Food Manufacturing	467
311119	Other Animal Food Manufacturing	1,788
3112	Grain and Oilseed Milling	2,378
311211	Flour Milling	731
311212	Rice Milling	156
311213	Malt Manufacturing	64
311221	Wet Corn Milling	212
311224	Soybean and Other Oilseed Processing	157
311225	Fats and Oils Refining and Blending	662
311230	Breakfast Cereal Manufacturing	396
3113	Sugar and Confectionery Product Manufacturing	2,489
311313	Beet Sugar Manufacturing	64
311314	Cane Sugar Manufacturing	113
311340	Nonchocolate Confectionery Manufacturing	1,399
311351	Chocolate and Confectionery Manufacturing from Cacao Beans	572
311352	Confectionery Manufacturing from Purchased Chocolate	341
3114	Fruit and Vegetable Preserving and Specialty Food Manufacturing	3,793
311411	Frozen Fruit, Juice, and Vegetable Manufacturing	532
311412	Frozen Specialty Food Manufacturing	639
311421	Fruit and Vegetable Canning	1,723
311422	Specialty Canning	581
311423	Dried and Dehydrated Food Manufacturing	318
3115	Dairy Product Manufacturing	3,878
311511	Fluid Milk Manufacturing	691
311512	Creamery Butter Manufacturing	212
311513	Cheese Manufacturing	680
311514	Dry, Condensed, and Evaporated Dairy Product Manufacturing	886
311520	Ice Cream and Frozen Dessert Manufacturing	1,409
3116	Animal Slaughtering and Processing	4,626
311611	Animal (except Poultry) Slaughtering	2,166
311612	Meat Processed from Carcasses	1,362
311613	Rendering and Meat Byproduct Processing	319
311615	Poultry Processing	779
3117	Seafood Product Preparation and Packaging	810
311710	Seafood Product Preparation and Packaging	810
3118	Bakeries and Tortilla Manufacturing	27,379
311811	Retail Bakeries	20,969
311812	Commercial Bakeries	4,227
311813	Frozen Cakes, Pies, and Other Pastries Manufacturing	257
311821	Cookie and Cracker Manufacturing	707
311824	Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour	568
