
Codes	Titles	Total Marketable US Businesses
336999	All Other Transportation Equipment Manufacturing	878
3371	Household and Institutional Furniture and Kitchen Cabinet Manufacturing	21,587
337110	Wood Kitchen Cabinet and Countertop Manufacturing	14,176
337121	Upholstered Household Furniture Manufacturing	861
337122	Nonupholstered Wood Household Furniture Manufacturing	3,298
337124	Metal Household Furniture Manufacturing	430
337125	Household Furniture (except Wood and Metal) Manufacturing	476
337127	Institutional Furniture Manufacturing	2,346
3372	Office Furniture (including Fixtures) Manufacturing	3,342
337211	Wood Office Furniture Manufacturing	887
337212	Custom Architectural Woodwork and Millwork Manufacturing	917
337214	Office Furniture (except Wood) Manufacturing	531
337215	Showcase, Partition, Shelving, and Locker Manufacturing	1,007
3379	Other Furniture Related Product Manufacturing	1,881
337910	Mattress Manufacturing	678
337920	Blind and Shade Manufacturing	1,203
3391	Medical Equipment and Supplies Manufacturing	21,347
339112	Surgical and Medical Instrument Manufacturing	5,525
339113	Surgical Appliance and Supplies Manufacturing	4,633
339114	Dental Equipment and Supplies Manufacturing	1,391
339115	Ophthalmic Goods Manufacturing	1,032
339116	Dental Laboratories	8,766
3399	Other Miscellaneous Manufacturing	73,758
339910	Jewelry and Silverware Manufacturing	5,285
339920	Sporting and Athletic Goods Manufacturing	8,070
339930	Doll, Toy, and Game Manufacturing	3,456
339940	Office Supplies (except Paper) Manufacturing	1,676
339950	Sign Manufacturing	20,957
339991	Gasket, Packing, and Sealing Device Manufacturing	833
339992	Musical Instrument Manufacturing	1,630
339993	Fastener, Button, Needle, and Pin Manufacturing	565
339994	Broom, Brush, and Mop Manufacturing	354
339995	Burial Casket Manufacturing	123
339999	All Other Miscellaneous Manufacturing	30,809
42	Wholesale Trade	706,904
4231	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	36,040
423110	Automobile and Other Motor Vehicle Merchant Wholesalers	8,704
423120	Motor Vehicle Supplies and New Parts Merchant Wholesalers	19,724
423130	Tire and Tube Merchant Wholesalers	3,335
423140	Motor Vehicle Parts (Used) Merchant Wholesalers	4,277
4232	Furniture and Home Furnishing Merchant Wholesalers	23,821
423210	Furniture Merchant Wholesalers	8,518
423220	Home Furnishing Merchant Wholesalers	15,303
4233	Lumber and Other Construction Materials Merchant Wholesalers	40,647
423310	Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers	22,132
423320	Brick, Stone, and Related Construction Material Merchant Wholesalers	11,794
423330	Roofing, Siding, and Insulation Material Merchant Wholesalers	3,173
423390	Other Construction Material Merchant Wholesalers	3,548
4234	Professional and Commercial Equipment and Supplies Merchant Wholesalers	60,712
423410	Photographic Equipment and Supplies Merchant Wholesalers	843
423420	Office Equipment Merchant Wholesalers	5,849
423430	Computer and Computer Peripheral Equipment and Software Merchant Wholesalers	12,722
423440	Other Commercial Equipment Merchant Wholesalers	18,295
423450	Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers	18,809
423460	Ophthalmic Goods Merchant Wholesalers	437
423490	Other Professional Equipment and Supplies Merchant Wholesalers	3,757
4235	Metal and Mineral (except Petroleum) Merchant Wholesalers	14,201
423510	Metal Service Centers and Other Metal Merchant Wholesalers	13,375
423520	Coal and Other Mineral and Ore Merchant Wholesalers	826
4236	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	42,178
423610	Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers	21,653
423620	Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers	4,470
423690	Other Electronic Parts and Equipment Merchant Wholesalers	16,055
4237	Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers	25,739
423710	Hardware Merchant Wholesalers	7,107
423720	Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers	10,268
423730	Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers	6,004
423740	Refrigeration Equipment and Supplies Merchant Wholesalers	2,360
4238	Machinery, Equipment, and Supplies Merchant Wholesalers	103,520
423810	Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers	9,421
423820	Farm and Garden Machinery and Equipment Merchant Wholesalers	9,627
423830	Industrial Machinery and Equipment Merchant Wholesalers	40,175
423840	Industrial Supplies Merchant Wholesalers	21,167
423850	Service Establishment Equipment and Supplies Merchant Wholesalers	17,448
423860	Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers	5,682
4239	Miscellaneous Durable Goods Merchant Wholesalers	82,497
423910	Sporting and Recreational Goods and Supplies Merchant Wholesalers	8,314
423920	Toy and Hobby Goods and Supplies Merchant Wholesalers	5,707
423930	Recyclable Material Merchant Wholesalers	7,440
423940	Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers	12,087
423990	Other Miscellaneous Durable Goods Merchant Wholesalers	48,949
4241	Paper and Paper Product Merchant Wholesalers	12,971
424110	Printing and Writing Paper Merchant Wholesalers	1,030
424120	Stationery and Office Supplies Merchant Wholesalers	6,954
424130	Industrial and Personal Service Paper Merchant Wholesalers	4,987
4242	Drugs and Druggists' Sundries Merchant Wholesalers	13,374
424210	Drugs and Druggists' Sundries Merchant Wholesalers	13,374
4243	Apparel, Piece Goods, and Notions Merchant Wholesalers	23,340
424310	Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers	4,593
424320	Men's and Boys' Clothing and Furnishings Merchant Wholesalers	4,296
424330	Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers	8,662
424340	Footwear Merchant Wholesalers	5,789
4244	Grocery and Related Product Merchant Wholesalers	60,059
424410	General Line Grocery Merchant Wholesalers	10,707
424420	Packaged Frozen Food Merchant Wholesalers	1,354
424430	Dairy Product (except Dried or Canned) Merchant Wholesalers	3,459
424440	Poultry and Poultry Product Merchant Wholesalers	1,599
424450	Confectionery Merchant Wholesalers	2,807
424460	Fish and Seafood Merchant Wholesalers	5,918
424470	Meat and Meat Product Merchant Wholesalers	3,211
424480	Fresh Fruit and Vegetable Merchant Wholesalers	6,875
424490	Other Grocery and Related Products Merchant Wholesalers	24,129
4245	Farm Product Raw Material Merchant Wholesalers	23,547
424510	Grain and Field Bean Merchant Wholesalers	7,721
424520	Livestock Merchant Wholesalers	10,335
424590	Other Farm Product Raw Material Merchant Wholesalers	5,491
4246	Chemical and Allied Products Merchant Wholesalers	13,194
424610	Plastics Materials and Basic Forms and Shapes Merchant Wholesalers	2,135
424690	Other Chemical and Allied Products Merchant Wholesalers	11,059
4247	Petroleum and Petroleum Products Merchant Wholesalers	14,403
424710	Petroleum Bulk Stations and Terminals	2,337
424720	Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)	12,066
4248	Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers	11,392
424810	Beer and Ale Merchant Wholesalers	2,863
424820	Wine and Distilled Alcoholic Beverage Merchant Wholesalers	8,529
4249	Miscellaneous Nondurable Goods Merchant Wholesalers	104,456
424910	Farm Supplies Merchant Wholesalers	15,767
424920	Book, Periodical, and Newspaper Merchant Wholesalers	9,659
424930	Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers	6,195
424940	Tobacco and Tobacco Product Merchant Wholesalers	4,957
424950	Paint, Varnish, and Supplies Merchant Wholesalers	4,303
424990	Other Miscellaneous Nondurable Goods Merchant Wholesalers	63,575
4251	Wholesale Electronic Markets and Agents and Brokers	813
425110	Business to Business Electronic Markets	0
425120	Wholesale Trade Agents and Brokers	813
44-45	Retail Trade	1,825,399
4411	Automobile Dealers	96,798
441110	New Car Dealers	60,849
441120	Used Car Dealers	35,949
4412	Other Motor Vehicle Dealers	44,809
441210	Recreational Vehicle Dealers	4,230
441222	Boat Dealers	11,788
441228	Motorcycle, ATV, and All Other Motor Vehicle Dealers	28,791
4413	Automotive Parts, Accessories, and Tire Stores	73,907
441310	Automotive Parts and Accessories Stores	42,721
441320	Tire Dealers	31,186
4421	Furniture Stores	44,648
442110	Furniture Stores	44,648
4422	Home Furnishings Stores	73,196
442210	Floor Covering Stores	47,081
442291	Window Treatment Stores	6,246
442299	All Other Home Furnishings Stores	19,869
4431	Electronics and Appliance Stores	82,547
443141	Household Appliance Stores	11,956
443142	Electronics Stores	70,591
4441	Building Material and Supplies Dealers	92,445
444110	Home Centers	29,607
444120	Paint and Wallpaper Stores	14,222
444130	Hardware Stores	22,115
444190	Other Building Material Dealers	26,501
4442	Lawn and Garden Equipment and Supplies Stores	18,160
444210	Outdoor Power Equipment Stores	4,017
444220	Nursery, Garden Center, and Farm Supply Stores	14,143
4451	Grocery Stores	152,752
445110	Supermarkets and Other Grocery (except Convenience) Stores	95,056
445120	Convenience Stores	57,696
4452	Specialty Food Stores	89,269
445210	Meat Markets	8,617
445220	Fish and Seafood Markets	3,071
445230	Fruit and Vegetable Markets	7,137
445291	Baked Goods Stores	37,567
445292	Confectionery and Nut Stores	10,113
445299	All Other Specialty Food Stores	22,764
4453	Beer, Wine, and Liquor Stores	34,228
445310	Beer, Wine, and Liquor Stores	34,228
4461	Health and Personal Care Stores	125,638
446110	Pharmacies and Drug Stores	55,900
446120	Cosmetics, Beauty Supplies, and Perfume Stores	19,508
446130	Optical Goods Stores	18,148
446191	Food (Health) Supplement Stores	17,306
446199	All Other Health and Personal Care Stores	14,776
4471	Gasoline Stations	73,436
447110	Gasoline Stations with Convenience Stores	1,241
447190	Other Gasoline Stations	72,195
4481	Clothing Stores	170,740
448110	Men's Clothing Stores	11,782
448120	Women's Clothing Stores	89,404
448130	Children's and Infants' Clothing Stores	7,144
448140	Family Clothing Stores	23,535
448150	Clothing Accessories Stores	18,595
448190	Other Clothing Stores	20,280
4482	Shoe Stores	19,843
448210	Shoe Stores	19,843
4483	Jewelry, Luggage, and Leather Goods Stores	42,178
448310	Jewelry Stores	40,381
448320	Luggage and Leather Goods Stores	1,797
4511	Sporting Goods, Hobby, and Musical Instrument Stores	102,174
451110	Sporting Goods Stores	54,006
451120	Hobby, Toy, and Game Stores	26,478
451130	Sewing, Needlework, and Piece Goods Stores	12,198
451140	Musical Instrument and Supplies Stores	9,492
4512	Book Stores and News Dealers	15,656
451211	Book Stores	14,685
451212	News Dealers and Newsstands	971
4522	Department Stores	21,325
452210	Department Stores	21,325
4523	General Merchandise Stores, including Warehouse Clubs and Supercenters	51,159
452311	Warehouse Clubs and Supercenters	1,902
452319	All Other General Merchandise Stores	49,257
4531	Florists	28,591
453110	Florists	28,591
4532	Office Supplies, Stationery, and Gift Stores	61,978
453210	Office Supplies and Stationery Stores	6,389
453220	Gift, Novelty, and Souvenir Stores	55,589
4533	Used Merchandise Stores	39,721
453310	Used Merchandise Stores	39,721
4539	Other Miscellaneous Store Retailers	194,070
453910	Pet and Pet Supplies Stores	18,491
453920	Art Dealers	3,849
453930	Manufactured (Mobile) Home Dealers	3,971
453991	Tobacco Stores	18,903
453998	All Other Miscellaneous Store Retailers (except Tobacco Stores)	148,856
4541	Electronic Shopping and Mail-Order Houses	24,347
454110	Electronic Shopping and Mail-Order Houses	24,347
4542	Vending Machine Operators	9,947
454210	Vending Machine Operators	9,947
4543	Direct Selling Establishments	41,837
454310	Fuel Dealers	13,950
454390	Other Direct Selling Establishments	27,887
48-49	Transportation and Warehousing	589,292
4811	Scheduled Air Transportation	2,507
481111	Scheduled Passenger Air Transportation	1,973
481112	Scheduled Freight Air Transportation	534
4812	Nonscheduled Air Transportation	2,780
481211	Nonscheduled Chartered Passenger Air Transportation	208
481212	Nonscheduled Chartered Freight Air Transportation	101
481219	Other Nonscheduled Air Transportation	2,471
4821	Rail Transportation	2,511
482111	Line-Haul Railroads	2,472
482112	Short Line Railroads	39
4831	Deep Sea, Coastal, and Great Lakes Water Transportation	1,361
483111	Deep Sea Freight Transportation	755
483112	Deep Sea Passenger Transportation	191
483113	Coastal and Great Lakes Freight Transportation	415
483114	Coastal and Great Lakes Passenger Transportation	0
4832	Inland Water Transportation	1,234
483211	Inland Water Freight Transportation	807
483212	Inland Water Passenger Transportation	427
4841	General Freight Trucking	196,840
484110	General Freight Trucking, Local	154,630
484121	General Freight Trucking, Long-Distance, Truckload	41,607
484122	General Freight Trucking, Long-Distance, Less Than Truckload	603
4842	Specialized Freight Trucking	24,520
484210	Used Household and Office Goods Moving	8,616
484220	Specialized Freight (except Used Goods) Trucking, Local	11,346
484230	Specialized Freight (except Used Goods) Trucking, Long-Distance	4,558
4851	Urban Transit Systems	7,583
485111	Mixed Mode Transit Systems	5,985
485112	Commuter Rail Systems	192
485113	Bus and Other Motor Vehicle Transit Systems	1,317
485119	Other Urban Transit Systems	89
4852	Interurban and Rural Bus Transportation	1,071
485210	Interurban and Rural Bus Transportation	1,071
4853	Taxi and Limousine Service	28,689
485310	Taxi Service	11,215
485320	Limousine Service	17,474
4854	School and Employee Bus Transportation	2,507
485410	School and Employee Bus Transportation	2,507
4855	Charter Bus Industry	3,377
485510	Charter Bus Industry	3,377
4859	Other Transit and Ground Passenger Transportation	5,454
485991	Special Needs Transportation	0
485999	All Other Transit and Ground Passenger Transportation	5,454
4861	Pipeline Transportation of Crude Oil	779
486110	Pipeline Transportation of Crude Oil	779
4862	Pipeline Transportation of Natural Gas	1,799
486210	Pipeline Transportation of Natural Gas	1,799
4869	Other Pipeline Transportation	567
486910	Pipeline Transportation of Refined Petroleum Products	358
486990	All Other Pipeline Transportation	209
4871	Scenic and Sightseeing Transportation, Land	366
487110	Scenic and Sightseeing Transportation, Land	366
4872	Scenic and Sightseeing Transportation, Water	519
487210	Scenic and Sightseeing Transportation, Water	519
4879	Scenic and Sightseeing Transportation, Other	361
487990	Scenic and Sightseeing Transportation, Other	361
4881	Support Activities for Air Transportation	18,532
488111	Air Traffic Control	1,013
488119	Other Airport Operations	13,496
488190	Other Support Activities for Air Transportation	4,023
4882	Support Activities for Rail Transportation	17,665
488210	Support Activities for Rail Transportation	17,665
4883	Support Activities for Water Transportation	4,257
488310	Port and Harbor Operations	224
488320	Marine Cargo Handling	1,011
488330	Navigational Services to Shipping	1,636
488390	Other Support Activities for Water Transportation	1,386
4884	Support Activities for Road Transportation	29,256
488410	Motor Vehicle Towing	23,046
488490	Other Support Activities for Road Transportation	6,210
4885	Freight Transportation Arrangement	41,189
488510	Freight Transportation Arrangement	41,189
4889	Other Support Activities for Transportation	124,752
488991	Packing and Crating	1,459
488999	All Other Support Activities for Transportation	123,293
4911	Postal Service	21,935
491110	Postal Service	21,935
4921	Couriers and Express Delivery Services	7,385
492110	Couriers and Express Delivery Services	7,385
4922	Local Messengers and Local Delivery	4,248
492210	Local Messengers and Local Delivery	4,248
4931	Warehousing and Storage	35,248
493110	General Warehousing and Storage	22,857
493120	Refrigerated Warehousing and Storage	1,345
493130	Farm Product Warehousing and Storage	914
493190	Other Warehousing and Storage	10,132
51	Information	356,941
5111	Newspaper, Periodical, Book, and Directory Publishers	45,647
511110	Newspaper Publishers	11,842
511120	Periodical Publishers	5,373
511130	Book Publishers	5,612
511140	Directory and Mailing List Publishers	600
511191	Greeting Card Publishers	362
511199	All Other Publishers	21,858
5112	Software Publishers	23,906
511210	Software Publishers	23,906
5121	Motion Picture and Video Industries	74,426
512110	Motion Picture and Video Production	28,480
512120	Motion Picture and Video Distribution	27,934
512131	Motion Picture Theaters (except Drive-Ins)	6,466
512132	Drive-In Motion Picture Theaters	122
512191	Teleproduction and Other Postproduction Services	3,743
512199	Other Motion Picture and Video Industries	7,681
5122	Sound Recording Industries	13,399
512230	Music Publishers	717
512240	Sound Recording Studios	4,823
512250	Record Production and Distribution	7,515
512290	Other Sound Recording Industries	344
5151	Radio and Television Broadcasting	17,675
515111	Radio Networks	10,136
515112	Radio Stations	3,233
515120	Television Broadcasting	4,306
5152	Cable and Other Subscription Programming	7,418
515210	Cable and Other Subscription Programming	7,418
5173	Wired and Wireless Telecommunications Carriers	45,147
517311	Wired Telecommunications Carriers	16,078
517312	Wireless Telecommunications Carriers (except Satellite)	29,069
5174	Satellite Telecommunications	196
517410	Satellite Telecommunications	196
5179	Other Telecommunications	73,006
517911	Telecommunications Resellers	18,358
517919	All Other Telecommunications	54,648
5182	Data Processing, Hosting, and Related Services	21,483
518210	Data Processing, Hosting, and Related Services	21,483
5191	Other Information Services	34,638
519110	News Syndicates	905
519120	Libraries and Archives	26,304
519130	Internet Publishing and Broadcasting and Web Search Portals	1,537
519190	All Other Information Services	5,892
52	Finance and Insurance	792,434
5211	Monetary Authorities-Central Bank	42
521110	Monetary Authorities-Central Bank	42
5221	Depository Credit Intermediation	108,188
522110	Commercial Banking	85,077
522120	Savings Institutions	7,048
522130	Credit Unions	16,063
522190	Other Depository Credit Intermediation	0
5222	Nondepository Credit Intermediation	43,749
522210	Credit Card Issuing	7
522220	Sales Financing	2,475
522291	Consumer Lending	16,551
522292	Real Estate Credit	6,540
522293	International Trade Financing	1,706
522294	Secondary Market Financing	6
522298	All Other Nondepository Credit Intermediation	16,464
5223	Activities Related to Credit Intermediation	68,913
522310	Mortgage and Nonmortgage Loan Brokers	13,291
522320	Financial Transactions Processing, Reserve, and Clearinghouse Activities	28,494
522390	Other Activities Related to Credit Intermediation	27,128
5231	Securities and Commodity Contracts Intermediation and Brokerage	37,043
523110	Investment Banking and Securities Dealing	2,700
523120	Securities Brokerage	30,721
523130	Commodity Contracts Dealing	2,971
523140	Commodity Contracts Brokerage	651
5232	Securities and Commodity Exchanges	384
523210	Securities and Commodity Exchanges	384
5239	Other Financial Investment Activities	244,858
523910	Miscellaneous Intermediation	143,195
523920	Portfolio Management	9,898
523930	Investment Advice	67,910
523991	Trust, Fiduciary, and Custody Activities	21,503
523999	Miscellaneous Financial Investment Activities	2,352
5241	Insurance Carriers	35,376
524113	Direct Life Insurance Carriers	7,763
524114	Direct Health and Medical Insurance Carriers	5,258
524126	Direct Property and Casualty Insurance Carriers	13,769
524127	Direct Title Insurance Carriers	5,336
524128	Other Direct Insurance (except Life, Health, and Medical) Carriers	3,115
524130	Reinsurance Carriers	135
5242	Agencies, Brokerages, and Other Insurance Related Activities	222,962
524210	Insurance Agencies and Brokerages	211,214
524291	Claims Adjusting	4,294
524292	Third Party Administration of Insurance and Pension Funds	870
524298	All Other Insurance Related Activities	6,584
5251	Insurance and Employee Benefit Funds	1,807
525110	Pension Funds	877
525120	Health and Welfare Funds	849
525190	Other Insurance Funds	81
5259	Other Investment Pools and Funds	29,112
525910	Open-End Investment Funds	14,055
525920	Trusts, Estates, and Agency Accounts	8,458
525990	Other Financial Vehicles	6,599
53	Real Estate and Rental and Leasing	869,567
5311	Lessors of Real Estate	206,604
531110	Lessors of Residential Buildings and Dwellings	127,114
531120	Lessors of Nonresidential Buildings (except Miniwarehouses)	29,375
531130	Lessors of Miniwarehouses and Self-Storage Units	22,877
531190	Lessors of Other Real Estate Property	27,238
5312	Offices of Real Estate Agents and Brokers	359,228
531210	Offices of Real Estate Agents and Brokers	359,228
5313	Activities Related to Real Estate	181,029
531311	Residential Property Managers	5,834
531312	Nonresidential Property Managers	147,451
531320	Offices of Real Estate Appraisers	22,061
531390	Other Activities Related to Real Estate	5,683
5321	Automotive Equipment Rental and Leasing	37,408
532111	Passenger Car Rental	15,269
532112	Passenger Car Leasing	916
532120	Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing	21,223
5322	Consumer Goods Rental	32,341
532210	Consumer Electronics and Appliances Rental	6,318
532281	Formal Wear and Costume Rental	1,858
532282	Video Tape and Disc Rental	5,129
532283	Home Health Equipment Rental	2,470
532284	Recreational Goods Rental	2,082
532289	All Other Consumer Goods Rental	14,484
5323	General Rental Centers	868
532310	General Rental Centers	868
5324	Commercial and Industrial Machinery and Equipment Rental and Leasing	48,513
532411	Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing	1,319
532412	Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing	5,635
532420	Office Machinery and Equipment Rental and Leasing	629
532490	Other Commercial and Industrial Machinery and Equipment Rental and Leasing	40,930
5331	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	3,576
533110	Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)	3,576
54	Professional, Scientific, and Technical Services	2,229,824
5411	Legal Services	352,591
541110	Offices of Lawyers	329,329
541120	Offices of Notaries	6,186
541191	Title Abstract and Settlement Offices	11,654
541199	All Other Legal Services	5,422
5412	Accounting, Tax Preparation, Bookkeeping, and Payroll Services	186,003
541211	Offices of Certified Public Accountants	70,227
541213	Tax Preparation Services	63,205
541214	Payroll Services	3,008
541219	Other Accounting Services	49,563
5413	Architectural, Engineering, and Related Services	257,109
541310	Architectural Services	39,518
541320	Landscape Architectural Services	84,092
541330	Engineering Services	97,657
541340	Drafting Services	1,686
541350	Building Inspection Services	7,850
541360	Geophysical Surveying and Mapping Services	0
541370	Surveying and Mapping (except Geophysical) Services	13,157
541380	Testing Laboratories	13,149
5414	Specialized Design Services	75,401
541410	Interior Design Services	35,656
541420	Industrial Design Services	1,856
541430	Graphic Design Services	36,061
541490	Other Specialized Design Services	1,828
5415	Computer Systems Design and Related Services	204,503
541511	Custom Computer Programming Services	109,028
541512	Computer Systems Design Services	89,199
541513	Computer Facilities Management Services	1,168
541519	Other Computer Related Services	5,108
5416	Management, Scientific, and Technical Consulting Services	658,292
541611	Administrative Management and General Management Consulting Services	188,300
541612	Human Resources Consulting Services	14,431
541613	Marketing Consulting Services	58,389
541614	Process, Physical Distribution, and Logistics Consulting Services	3,189
541618	Other Management Consulting Services	326,353
541620	Environmental Consulting Services	23,828
541690	Other Scientific and Technical Consulting Services	43,802
5417	Scientific Research and Development Services	44,469
541713	Research and Development in Nanotechnology	0
541714	Research and Development in Biotechnology (except Nanobiotechnology)	4,535
541715	Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)	24,238
541720	Research and Development in the Social Sciences and Humanities	15,696
5418	Advertising, Public Relations, and Related Services	64,880
541810	Advertising Agencies	23,927
541820	Public Relations Agencies	16,526
541830	Media Buying Agencies	789
541840	Media Representatives	3,668
541850	Outdoor Advertising	2,589
541860	Direct Mail Advertising	4,966
541870	Advertising Material Distribution Services	1,063
541890	Other Services Related to Advertising	11,352
5419	Other Professional, Scientific, and Technical Services	386,576
541910	Marketing Research and Public Opinion Polling	13,409
541921	Photography Studios, Portrait	88,112
541922	Commercial Photography	16,171
541930	Translation and Interpretation Services	6,272
541940	Veterinary Services	46,901
541990	All Other Professional, Scientific, and Technical Services	215,711
55	Management of Companies and Enterprises	72,727
5511	Management of Companies and Enterprises	72,727
551111	Offices of Bank Holding Companies	2,187
551112	Offices of Other Holding Companies	70,540
551114	Corporate, Subsidiary, and Regional Managing Offices	0
56	Administrative and Support and Waste Management and Remediation Services	1,797,527
5611	Office Administrative Services	153,303
561110	Office Administrative Services	153,303
5612	Facilities Support Services	4,793
561210	Facilities Support Services	4,793
5613	Employment Services	61,628
561311	Employment Placement Agencies	31,261
561312	Executive Search Services	9,155
561320	Temporary Help Services	20,598
561330	Professional Employer Organizations	614
5614	Business Support Services	227,453
561410	Document Preparation Services	4,327
561421	Telephone Answering Services	5,788
561422	Telemarketing Bureaus and Other Contact Centers	1,312
561431	Private Mail Centers	7,424
561439	Other Business Service Centers (including Copy Shops)	1,244
561440	Collection Agencies	4,950
561450	Credit Bureaus	1,214
561491	Repossession Services	2,108
561492	Court Reporting and Stenotype Services	7,138
561499	All Other Business Support Services	191,948
5615	Travel Arrangement and Reservation Services	61,386
561510	Travel Agencies	46,234
561520	Tour Operators	10,373
561591	Convention and Visitors Bureaus	1,282
561599	All Other Travel Arrangement and Reservation Services	3,497
5616	Investigation and Security Services	57,393
561611	Investigation Services	10,121
561612	Security Guards and Patrol Services	18,125
561613	Armored Car Services	3,075
561621	Security Systems Services (except Locksmiths)	15,971
561622	Locksmiths	10,101
5617	Services to Buildings and Dwellings	398,292
561710	Exterminating and Pest Control Services	28,019
561720	Janitorial Services	106,178
561730	Landscaping Services	139,504
561740	Carpet and Upholstery Cleaning Services	16,003
561790	Other Services to Buildings and Dwellings	108,588
5619	Other Support Services	787,509
561910	Packaging and Labeling Services	3,038
561920	Convention and Trade Show Organizers	3,633
561990	All Other Support Services	780,838
5621	Waste Collection	2,419
562111	Solid Waste Collection	1,881
562112	Hazardous Waste Collection	264
562119	Other Waste Collection	274
5622	Waste Treatment and Disposal	14,562
562211	Hazardous Waste Treatment and Disposal	3,873
562212	Solid Waste Landfill	6,145
562213	Solid Waste Combustors and Incinerators	37
562219	Other Nonhazardous Waste Treatment and Disposal	4,507
5629	Remediation and Other Waste Management Services	28,789
562910	Remediation Services	2,939
562920	Materials Recovery Facilities	12,143
562991	Septic Tank and Related Services	12,461
562998	All Other Miscellaneous Waste Management Services	1,246
61	Educational Services	428,654
6111	Elementary and Secondary Schools	216,709
611110	Elementary and Secondary Schools	216,709
6112	Junior Colleges	5,104
611210	Junior Colleges	5,104
6113	Colleges, Universities, and Professional Schools	38,324
611310	Colleges, Universities, and Professional Schools	38,324
6114	Business Schools and Computer and Management Training	5,237
611410	Business and Secretarial Schools	926
611420	Computer Training	3,964
611430	Professional and Management Development Training	347
6115	Technical and Trade Schools	13,670
611511	Cosmetology and Barber Schools	2,858
611512	Flight Training	1,261
611513	Apprenticeship Training	437
611519	Other Technical and Trade Schools	9,114
6116	Other Schools and Instruction	138,936
611610	Fine Arts Schools	28,219
611620	Sports and Recreation Instruction	44,670
611630	Language Schools	2,542
611691	Exam Preparation and Tutoring	8,496
611692	Automobile Driving Schools	5,513
611699	All Other Miscellaneous Schools and Instruction	49,496
6117	Educational Support Services	10,674
611710	Educational Support Services	10,674
62	Health Care and Social Assistance	1,693,539
6211	Offices of Physicians	473,830
621111	Offices of Physicians (except Mental Health Specialists)	452,926
621112	Offices of Physicians, Mental Health Specialists	20,904
6212	Offices of Dentists	208,069
621210	Offices of Dentists	208,069
6213	Offices of Other Health Practitioners	285,361
621310	Offices of Chiropractors	65,923
621320	Offices of Optometrists	31,787
621330	Offices of Mental Health Practitioners (except Physicians)	34,917
621340	Offices of Physical, Occupational and Speech Therapists, and Audiologists	37,366
621391	Offices of Podiatrists	14,504
621399	Offices of All Other Miscellaneous Health Practitioners	100,864
6214	Outpatient Care Centers	70,332
621410	Family Planning Centers	5,336
621420	Outpatient Mental Health and Substance Abuse Centers	11,763
621491	HMO Medical Centers	1,181
621492	Kidney Dialysis Centers	9,828
621493	Freestanding Ambulatory Surgical and Emergency Centers	3,095
621498	All Other Outpatient Care Centers	39,129
6215	Medical and Diagnostic Laboratories	17,667
621511	Medical Laboratories	14,288
621512	Diagnostic Imaging Centers	3,379
6216	Home Health Care Services	50,441
621610	Home Health Care Services	50,441
6219	Other Ambulatory Health Care Services	150,778
621910	Ambulance Services	7,014
621991	Blood and Organ Banks	9,870
621999	All Other Miscellaneous Ambulatory Health Care Services	133,894
6221	General Medical and Surgical Hospitals	31,738
622110	General Medical and Surgical Hospitals	31,738
6222	Psychiatric and Substance Abuse Hospitals	4,495
622210	Psychiatric and Substance Abuse Hospitals	4,495
6223	Specialty (except Psychiatric and Substance Abuse) Hospitals	2,692
622310	Specialty (except Psychiatric and Substance Abuse) Hospitals	2,692
6231	Nursing Care Facilities (Skilled Nursing Facilities)	35,602
623110	Nursing Care Facilities (Skilled Nursing Facilities)	35,602
6232	Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities	8,172
623210	Residential Intellectual and Developmental Disability Facilities	2,115
623220	Residential Mental Health and Substance Abuse Facilities	6,057
6233	Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly	19,884
623311	Continuing Care Retirement Communities	11,667
623312	Assisted Living Facilities for the Elderly	8,217
6239	Other Residential Care Facilities	16,370
623990	Other Residential Care Facilities	16,370
6241	Individual and Family Services	183,057
624110	Child and Youth Services	11,136
624120	Services for the Elderly and Persons with Disabilities	21,322
